entry->address = 0x21402a0
entry->size = 0
entry->caller = 0x41164d
entry->timestamp = 1618055072.382844989
ADDRESS,ALLOCATED_BYTES,CALLER,TIME
21416d0,128,41156e,1618055072.381596516
2141760,128,41156e,1618055072.381597820
21417f0,128,41156e,1618055072.381598039
2141880,128,41156e,1618055072.381598200
2141910,128,41156e,1618055072.381598319
21419a0,128,41156e,1618055072.381598459
2141a30,128,41156e,1618055072.381598577
2141ac0,128,41156e,1618055072.381598695
2141b50,128,41156e,1618055072.381598810
2141be0,128,41156e,1618055072.381598927
2141c70,128,41156e,1618055072.381599044
2141d00,128,41156e,1618055072.381599161
2141d90,128,41156e,1618055072.381599280
2141e20,128,41156e,1618055072.381599396
2141eb0,128,41156e,1618055072.381599511
2141f40,128,41156e,1618055072.381599629
